Tariff Rate,E-19-TOU,E-19-TOU-(Option R),A-1-TOU,A-6-TOU,A-10-TOU,TOU-GS-2-A,TOU-GS-2-B,TOU-GS-2-R,TOU-GS-2-CPP,TOU-GS-3-A,TOU-GS-3-B,TOU-GS-3-R,TOU-GS-3-CPP,AL-TOU,DG-R,A,TOU-A,A6-TOU
Utility Company,PG&E,PG&E,PG&E,PG&E,PG&E,SCE,SCE,SCE,SCE,SCE,SCE,SCE,SCE,SDGE,SDGE,SDGE,SDGE,SDGE
Winter Start,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17,11/1/17
Summer Start,4/30/17,4/30/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,4/30/17,4/30/17,4/30/17,4/30/17,4/30/17
Max kW Peak (summer),18.74,1.56,0,0,0,0,15.42,0,15.42,0,13.61,,13.61,0,0,0,,
Part kW Peak (summer),5.22,0.53,0,0,0,0,3.01,0,3.01,0,3.99,,3.99,9.36,0.61,0,,
Part kW Peak (winter),0.13,0.03,0,0,0,0,0,0,0,0,,,,6.86,2.03,0,,
Anytime kW Peak (summer),17.32,17.32,0,0,17.83,15.44,15.44,11.65,15.44,17.64,18.45,11.04,18.45,22.55,11.34,0,,
Anytime kW Peak (winter),17.32,17.32,0,0,10.46,15.44,15.44,11.65,15.44,17.64,18.45,11.04,18.45,22.55,11.34,0,,
kWh Peak (summer),0.14726,0.32928,0.25797,0.54891,0.21468,0.29766,0.09732,0.31059,0.09732,0.28012,0.10118,0.29896,0.10118,0.11965,0.35617,0.12394,,
kWh Peak (winter),0,0,0,0,0,0,0,0,0,0,0,0,0,0.11083,0.15659,0.12394,,
kWh Part Peak (summer),0.10714,0.15324,0.23431,0.25208,0.15955,0.0968,0.06398,0.10973,0.06398,0.09637,0.06803,0.11521,0.06803,0.11086,0.20815,0.12394,,
kWh Part Peak (winter),0.10165,0.10216,0.21471,0.19833,0.13088,0.06103,0.06103,0.07396,0.06103,0.06418,0.06418,0.08302,0.06418,0.0965,0.14226,0.12394,,
kWh Off Peak (summer),0.08057,0.08057,0.20696,0.18049,0.13148,0.04616,0.04616,0.05909,0.04616,0.0514,0.0514,0.07024,0.0514,0.08438,0.18068,0.12394,,
kWh Off Peak (winter),0.08717,0.08717,0.1938,0.18009,0.11382,0.05399,0.05399,0.06492,0.05399,0.05572,0.05572,0.07456,0.05572,0.07678,0.12254,0.12394,,
Off Peak Morning Start (summer),9,9,9,9,9,8,8,8,8,8,8,8,8,6,6,6,,
Off Peak Evening End (summer),22,22,22,22,22,23,23,23,23,23,23,23,23,22,22,22,,
Park Peak Morning Start (summer),9,9,9,9,9,8,8,8,8,8,8,8,8,6,6,6,,
Part Peak Morning End (summer),12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,,
Park Peak Evening Start (summer),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Part Peak Evening End (summer),22,22,22,22,22,23,23,23,23,23,23,23,23,22,22,22,,
Peak Start (summer),12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,,
Peak End (summer),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
Off Peak Morning Start (winter),9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,,
Off Peak Evening End (winter),22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
Park Peak Morning Start (winter),9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,,
Part Peak Morning End (winter),22,22,22,22,22,22,22,22,22,22,22,22,22,17,17,17,,
Park Peak Evening Start (winter),24,24,24,24,24,24,24,24,24,24,24,24,24,20,20,20,,
Part Peak Evening End (winter),0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,,
Peak Start (winter),24,24,24,24,24,24,24,24,24,24,24,24,24,17,17,17,,
Peak End (winter),0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,,